partition,detector,strat_id,strat_name,budget_label,budget_k,detectable_size,clean_pct,mean_out_z,mean_delta_z,ci95_delta_z,mean_edits,mean_turnover,content_jsd
dev,kirchenbauer,STRAT_07_FULL_COMPOSITE,Full Composite (Self-Info + Spatial + Context),Low,3,56,17.857142857142858,2.2996964285714285,-0.2378035714285714,0.05030016149892743,5.25,4.839396688833832,0.038588224876465634
dev,kirchenbauer,STRAT_07_FULL_COMPOSITE,Full Composite (Self-Info + Spatial + Context),Medium,5,56,30.357142857142854,2.096732142857143,-0.4407678571428571,0.07174021780322767,7.214285714285714,7.035111494111827,0.0537827589182786
dev,kirchenbauer,STRAT_07_FULL_COMPOSITE,Full Composite (Self-Info + Spatial + Context),High,10,56,42.857142857142854,1.8814464285714285,-0.6560535714285713,0.11985474687569268,11.321428571428571,11.177117223932349,0.0845520271734949
dev,kirchenbauer,STRAT_08_FROZEN_HEATMAP,Existing Frozen Heatmap (9e13d2bc04c8),Low,3,56,19.642857142857142,2.2770535714285716,-0.2604464285714285,0.05089320950864574,5.25,4.871514019903429,0.03818260988388324
dev,kirchenbauer,STRAT_08_FROZEN_HEATMAP,Existing Frozen Heatmap (9e13d2bc04c8),Medium,5,56,28.57142857142857,2.093625,-0.44387499999999996,0.06421530989569388,7.214285714285714,7.102497926538118,0.05361740997141555
dev,kirchenbauer,STRAT_08_FROZEN_HEATMAP,Existing Frozen Heatmap (9e13d2bc04c8),High,10,56,44.642857142857146,1.8572321428571428,-0.6802678571428571,0.12026422176154092,11.321428571428571,11.061428813659319,0.08382034773886458
dev,kirchenbauer,STRAT_09_UNIFORM_CONTROL,Uniform Allocation Control,Low,3,56,19.642857142857142,2.3379642857142855,-0.19953571428571426,0.04585920157493922,5.25,5.002326413633756,0.03777149718450059
dev,kirchenbauer,STRAT_09_UNIFORM_CONTROL,Uniform Allocation Control,Medium,5,56,12.5,2.1564107142857143,-0.3810892857142857,0.06879741189304885,7.214285714285714,7.098073155581436,0.053982471367415644
dev,kirchenbauer,STRAT_09_UNIFORM_CONTROL,Uniform Allocation Control,High,10,56,46.42857142857143,1.7815535714285715,-0.7559464285714286,0.12476962337006989,11.321428571428571,11.10060550148073,0.08379876970924276
dev,kirchenbauer,STRAT_10_SHUFFLED_CONTROL,Shuffled Ranking Control,Low,3,56,14.285714285714285,2.317285714285714,-0.2202142857142857,0.06269182890065571,5.25,4.896815787562714,0.037576984754949375
dev,kirchenbauer,STRAT_10_SHUFFLED_CONTROL,Shuffled Ranking Control,Medium,5,56,35.714285714285715,2.0965535714285712,-0.4409464285714286,0.06889399582956149,7.214285714285714,7.0104137547952945,0.05335408618288695
dev,kirchenbauer,STRAT_10_SHUFFLED_CONTROL,Shuffled Ranking Control,High,10,56,44.642857142857146,1.8008214285714286,-0.7366785714285714,0.11136175696595962,11.321428571428571,10.986627556843883,0.08230754529237934
val,kirchenbauer,STRAT_01_SELF_INFO_ONLY,Self-Information Only (SIRA Comparator),Low,3,30,20.0,2.609766666666667,-0.29469999999999996,0.07159018752899575,5.666666666666667,5.900089794351006,0.04232337032663693
val,kirchenbauer,STRAT_01_SELF_INFO_ONLY,Self-Information Only (SIRA Comparator),Medium,5,30,20.0,2.4331666666666667,-0.47129999999999994,0.09420706778083089,7.666666666666667,7.969822851256409,0.05824688679781241
val,kirchenbauer,STRAT_01_SELF_INFO_ONLY,Self-Information Only (SIRA Comparator),High,10,30,30.0,2.199866666666667,-0.7045999999999999,0.1522553305754635,12.266666666666667,12.196174460343444,0.0966855452406297
val,kirchenbauer,STRAT_02_SPATIAL_ONLY,Spatial Position Only,Low,3,30,16.666666666666664,2.6252666666666666,-0.27919999999999995,0.07704652808664966,5.666666666666667,5.983293928717931,0.04258537319902183
val,kirchenbauer,STRAT_02_SPATIAL_ONLY,Spatial Position Only,Medium,5,30,20.0,2.451966666666667,-0.45249999999999996,0.11208073702039292,7.666666666666667,8.139373227539611,0.059049484097949405
val,kirchenbauer,STRAT_02_SPATIAL_ONLY,Spatial Position Only,High,10,30,30.0,2.1818666666666666,-0.7225999999999999,0.14698565900927477,12.266666666666667,12.277162959543453,0.09658836609076953
val,kirchenbauer,STRAT_03_CONTEXT_ONLY,Local Contextual Overlap Only,Low,3,30,20.0,2.609766666666667,-0.29469999999999996,0.07159018752899575,5.666666666666667,5.900089794351006,0.04232337032663693
val,kirchenbauer,STRAT_03_CONTEXT_ONLY,Local Contextual Overlap Only,Medium,5,30,20.0,2.4331666666666667,-0.47129999999999994,0.09420706778083089,7.666666666666667,7.969822851256409,0.05824688679781241
val,kirchenbauer,STRAT_03_CONTEXT_ONLY,Local Contextual Overlap Only,High,10,30,30.0,2.199866666666667,-0.7045999999999999,0.1522553305754635,12.266666666666667,12.196174460343444,0.0966855452406297
val,kirchenbauer,STRAT_04_SELF_INFO_SPATIAL,Self-Information + Spatial,Low,3,30,20.0,2.609766666666667,-0.29469999999999996,0.07159018752899575,5.666666666666667,5.900089794351006,0.04232337032663693
val,kirchenbauer,STRAT_04_SELF_INFO_SPATIAL,Self-Information + Spatial,Medium,5,30,20.0,2.4331666666666667,-0.47129999999999994,0.09420706778083089,7.666666666666667,7.969822851256409,0.05824688679781241
val,kirchenbauer,STRAT_04_SELF_INFO_SPATIAL,Self-Information + Spatial,High,10,30,30.0,2.199866666666667,-0.7045999999999999,0.1522553305754635,12.266666666666667,12.196174460343444,0.0966855452406297
val,kirchenbauer,STRAT_05_SELF_INFO_CONTEXT,Self-Information + Context,Low,3,30,20.0,2.609766666666667,-0.29469999999999996,0.07159018752899575,5.666666666666667,5.900089794351006,0.04232337032663693
val,kirchenbauer,STRAT_05_SELF_INFO_CONTEXT,Self-Information + Context,Medium,5,30,20.0,2.4331666666666667,-0.47129999999999994,0.09420706778083089,7.666666666666667,7.969822851256409,0.05824688679781241
val,kirchenbauer,STRAT_05_SELF_INFO_CONTEXT,Self-Information + Context,High,10,30,30.0,2.199866666666667,-0.7045999999999999,0.1522553305754635,12.266666666666667,12.196174460343444,0.0966855452406297
val,kirchenbauer,STRAT_06_SPATIAL_CONTEXT,Spatial + Context,Low,3,30,20.0,2.609766666666667,-0.29469999999999996,0.07159018752899575,5.666666666666667,5.900089794351006,0.04232337032663693
val,kirchenbauer,STRAT_06_SPATIAL_CONTEXT,Spatial + Context,Medium,5,30,20.0,2.4331666666666667,-0.47129999999999994,0.09420706778083089,7.666666666666667,7.969822851256409,0.05824688679781241
val,kirchenbauer,STRAT_06_SPATIAL_CONTEXT,Spatial + Context,High,10,30,30.0,2.199866666666667,-0.7045999999999999,0.1522553305754635,12.266666666666667,12.196174460343444,0.0966855452406297
val,kirchenbauer,STRAT_07_FULL_COMPOSITE,Full Composite (Self-Info + Spatial + Context),Low,3,30,20.0,2.609766666666667,-0.29469999999999996,0.07159018752899575,5.666666666666667,5.900089794351006,0.04232337032663693
val,kirchenbauer,STRAT_07_FULL_COMPOSITE,Full Composite (Self-Info + Spatial + Context),Medium,5,30,20.0,2.4331666666666667,-0.47129999999999994,0.09420706778083089,7.666666666666667,7.969822851256409,0.05824688679781241
val,kirchenbauer,STRAT_07_FULL_COMPOSITE,Full Composite (Self-Info + Spatial + Context),High,10,30,30.0,2.199866666666667,-0.7045999999999999,0.1522553305754635,12.266666666666667,12.196174460343444,0.0966855452406297
val,kirchenbauer,STRAT_08_FROZEN_HEATMAP,Existing Frozen Heatmap (9e13d2bc04c8),Low,3,30,16.666666666666664,2.6252666666666666,-0.27919999999999995,0.07704652808664966,5.666666666666667,5.983293928717931,0.04258537319902183
val,kirchenbauer,STRAT_08_FROZEN_HEATMAP,Existing Frozen Heatmap (9e13d2bc04c8),Medium,5,30,20.0,2.451966666666667,-0.45249999999999996,0.11208073702039292,7.666666666666667,8.139373227539611,0.059049484097949405
val,kirchenbauer,STRAT_08_FROZEN_HEATMAP,Existing Frozen Heatmap (9e13d2bc04c8),High,10,30,30.0,2.1818666666666666,-0.7225999999999999,0.14698565900927477,12.266666666666667,12.277162959543453,0.09658836609076953
val,kirchenbauer,STRAT_09_UNIFORM_CONTROL,Uniform Allocation Control,Low,3,30,16.666666666666664,2.595066666666667,-0.30939999999999995,0.0926163370330812,5.666666666666667,5.949817844079056,0.04271193210636692
val,kirchenbauer,STRAT_09_UNIFORM_CONTROL,Uniform Allocation Control,Medium,5,30,13.333333333333334,2.416533333333333,-0.4879333333333333,0.12015519513685405,7.666666666666667,8.156070803606365,0.058062899403363975
val,kirchenbauer,STRAT_09_UNIFORM_CONTROL,Uniform Allocation Control,High,10,30,16.666666666666664,2.1658333333333335,-0.7386333333333333,0.15093628076586804,12.266666666666667,12.470333290796306,0.09768015751111016
val,kirchenbauer,STRAT_10_SHUFFLED_CONTROL,Shuffled Ranking Control,Low,3,30,13.333333333333334,2.6172,-0.28726666666666667,0.07444714427558165,5.666666666666667,5.852738373162375,0.04343875879013819
val,kirchenbauer,STRAT_10_SHUFFLED_CONTROL,Shuffled Ranking Control,Medium,5,30,16.666666666666664,2.5007333333333333,-0.4037333333333333,0.11849380774250612,7.666666666666667,8.157776825595127,0.05889257519539246
val,kirchenbauer,STRAT_10_SHUFFLED_CONTROL,Shuffled Ranking Control,High,10,30,23.333333333333332,2.1164666666666667,-0.7879999999999999,0.13557627225352123,12.266666666666667,12.490868794162637,0.09589303539687741
