document_id,token_index,sentence_index,paragraph_index,token_text,lemma,pos,domain_class,character_offset,normalized_position,mean_delta_z,median_delta_z,std_delta_z,mean_abs_delta_z,clean_transition_rate,standard_error,ci95_low,ci95_high,n_trials,status
cli_input,459,9,0,range,range,NN,general,1443,0.8422018348623853,-0.05174476359544666,-0.06799457888455396,0.08017092297135964,0.08467757440906158,1.0,0.03585352671657192,-0.12201767595992762,0.01852814876903429,5,valid
cli_input,43,1,0,work,work,VBP,general,101,0.1235632183908046,-0.10595281727534948,-0.13278711626253203,0.13857789205301366,0.1356340025144193,1.0,0.06197391736183328,-0.2274216953045427,0.01551606075384375,5,valid
cli_input,94,1,0,structure,structure,NN,general,220,0.27011494252873564,-0.17277164657562766,-0.11579820539863905,0.13203429980686393,0.17277164657562766,1.0,0.059047533945947014,-0.2885048131096838,-0.05703848004157151,5,valid
cli_input,101,2,0,scheme,scheme,NN,general,242,0.29022988505747127,-0.18240318422465182,-0.130977108102304,0.2076939762364581,0.1906399221969522,1.0,0.09288356987638925,-0.36445498118237474,-0.00035138726692887645,5,valid
cli_input,127,2,0,effects,effect,NNS,general,316,0.3649425287356322,-0.34757814552944855,-0.3386761225443329,0.19457864601636846,0.34757814552944855,1.0,0.0870182158924937,-0.5181338486787361,-0.1770224423801609,5,valid
cli_input,148,3,0,setups,setup,NNS,general,383,0.42528735632183906,-0.1105716767278544,-0.06344301125521179,0.18089386524485884,0.11174798980789982,1.0,0.0808981958800382,-0.2691321406527293,0.04798878719702049,5,valid
cli_input,188,4,0,effects,effect,NNS,general,489,0.5402298850574713,-0.026365448964741134,-0.04960212417436616,0.12405274813379046,0.10673189601915127,1.0,0.055478075524563124,-0.13510247699288486,0.08237157906340259,5,valid
cli_input,225,5,0,structure,structure,NN,general,595,0.646551724137931,-0.04157748630830551,-0.007066960515625276,0.07926623644835429,0.04550123714394947,1.0,0.035448938603818335,-0.11105740597178945,0.027902433355178426,5,valid
cli_input,278,6,0,locating,locate,VBG,general,730,0.7988505747126436,-0.020390582620759923,0.06220187743063188,0.1670378460487645,0.13444659356491126,1.0,0.07470159571603642,-0.16680571022419133,0.12602454498267146,5,valid
cli_input,288,6,0,diversity,diversity,NN,general,761,0.8275862068965517,-0.05708609688699231,-0.10584025845867318,0.13549695383045224,0.12101495418197375,1.0,0.06059607990180834,-0.17585441349453665,0.06168221972055204,5,valid
cli_input,306,6,0,outputs,output,NNS,general,814,0.8793103448275862,0.053513159170694255,-0.002858664161105251,0.10965901463846016,0.05694355616402056,1.0,0.049041002215448284,-0.04260720517158438,0.14963352351297288,5,valid
cli_input,12,0,0,setup,setup,NN,general,30,0.031496062992125984,-0.4161763991958748,-0.4763962058841811,0.10344165772828641,0.4161763991958748,0.0,0.046260515677142976,-0.5068470099230751,-0.32550578846867456,5,valid
cli_input,14,0,0,constructed,construct,VBD,general,36,0.03674540682414698,-0.31174668668120786,-0.29647873768449307,0.08301024121252538,0.31174668668120786,0.0,0.037123308435972266,-0.3845083712157135,-0.2389850021467022,5,valid
cli_input,31,1,0,applied,apply,VBD,general,81,0.08136482939632546,-0.2590465432962124,-0.22968780603345884,0.14414121771040692,0.2590465432962124,0.0,0.0644619122320133,-0.38539189127095846,-0.13270119532146635,5,valid
cli_input,35,1,0,setup,setup,NN,general,96,0.09186351706036745,-0.24838730401905734,-0.20794251961646681,0.1577047105484802,0.24838730401905734,0.0,0.07052769063166597,-0.3866215776571227,-0.11015303038099203,5,valid
cli_input,105,2,0,realm,realm,NN,general,294,0.2755905511811024,-0.207389073241223,-0.23324955646250078,0.09043454454356288,0.207389073241223,0.0,0.040443557822727856,-0.2866584465737696,-0.1281196999086764,5,valid
cli_input,112,3,0,outputs,output,NNS,general,312,0.29396325459317585,-0.2506284180334582,-0.3724408881499359,0.1725318937153222,0.2506284180334582,0.0,0.07715860852684583,-0.40185929074607607,-0.09939754532084036,5,valid
cli_input,118,3,0,presented,present,VBD,general,329,0.30971128608923887,-0.08080434631929805,-0.03885679022852129,0.1648910974528683,0.11638189139821567,0.0,0.07374154055783119,-0.2253377658126472,0.06372907317405109,5,valid
cli_input,139,3,0,applicable,applicable,JJ,general,377,0.3648293963254593,-0.056220157446261874,-0.011759958473122722,0.08437699510303329,0.06701259256305532,0.0,0.03773453935750986,-0.1301798545869812,0.017739539694457455,5,valid
cli_input,211,5,0,factors,factor,NNS,general,598,0.5538057742782152,-0.05779938517464034,-0.04504061422085304,0.04236481383627232,0.05779938517464034,0.0,0.01894612071840571,-0.09493378178271553,-0.020664988566565144,5,valid
cli_input,301,6,0,types,type,NNS,general,843,0.7900262467191601,-0.2886543559818485,-0.2783136699842119,0.04066396249128889,0.2886543559818485,0.0,0.01818547687300473,-0.3242978906529378,-0.25301082131075925,5,valid
cli_input,305,6,0,consequences,consequence,NNS,general,852,0.800524934383202,-0.1675746251538115,-0.19256706161329395,0.0827469483456045,0.1675746251538115,0.0,0.037005560286287084,-0.24010552331493418,-0.09504372699268882,5,valid
